error_code,feature,error_description,error_cause,error_response,error_url
XDMP-READ,XDMP,"variable1:Invalid read; variable2",An inconsistency was detected while reading a memory-mapped index file. Details about the inconsistency are included in the error report. A memory-mapped index file may be corrupt.,Check the operating system error log for file system or storage hardware problems. Restarting MarkLogic on the host may clear an inconsistency in memory. Merging on the affected forest may clear an inconsistency on disk. Reindexing the affected forest may clear an inconsistency on disk.,https://docs.marklogic.com/messages/XDMP-en/XDMP-READ
XDMP-READCONFIG,XDMP,Error reading configuration file: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-READCONFIG
XDMP-READFILE,XDMP,ReadFile variable1: variable2,The server encountered a problem that prevented reading a file.,"Resolve the problem with the file. If the file is not in UTF-8 and you are using xdmp:filesystem-file; try xdmp:document-get; which has options for converting from other character encodings.",https://docs.marklogic.com/messages/XDMP-en/XDMP-READFILE
XDMP-READONLY,XDMP,Forest variable1 can only perform reads,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-READONLY
XDMP-READONLY-COMMIT,XDMP,Forest %1 is read-only or flash-backup when %2 committing transaction %3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-READONLY-COMMIT
XDMP-READONLYLABEL,XDMP,Forest label is read only: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-READONLYLABEL
XDMP-REBALANCE,XDMP,Error rebalancing variable1: exception_stack,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REBALANCE
XDMP-RECENTHANG,XDMP,Host hung recently,The host was probably hung recently.,The system will get back to normal shortly.,https://docs.marklogic.com/messages/XDMP-en/XDMP-RECENTHANG
XDMP-RECOVERY,XDMP,Recovery error on forest variable1 after variable2 redo records -- variable3 exception_stack,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RECOVERY
XDMP-RECURSIVEREMOVEFAILED,XDMP,Recursive remove directory variable1 failed for variable2,An error has occurred when trying to recursively remove a directory.,This is an indication that there is likely a problem with the underlying file system. Inspect the file system on which the error occurred and take action as necessary to address the problem.,https://docs.marklogic.com/messages/XDMP-en/XDMP-RECURSIVEREMOVEFAILED
XDMP-REDATTRDECL,XDMP,Redefined element declaration: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDATTRDECL
XDMP-REDATTRGROUP,XDMP,Redefined attribute group: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDATTRGROUP
XDMP-REDBUILTIN,XDMP,Redefined builtin variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDBUILTIN
XDMP-REDCOMPLEXTYPE,XDMP,Redefined complex type: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDCOMPLEXTYPE
XDMP-REDCONSTR,XDMP,Redefined constructor variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDCONSTR
XDMP-REDDEFELMNS,XDMP,Redefined default element namespace,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDDEFELMNS
XDMP-REDDEFFUNNS,XDMP,Redefined default function namespace,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDDEFFUNNS
XDMP-REDELEMDECL,XDMP,Redefined element declaration: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDELEMDECL
XDMP-REDFUN,XDMP,Redefined function variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDFUN
XDMP-REDGROUP,XDMP,Redefined named model group: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDGROUP
XDMP-REDMOD,XDMP,Redefined module variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDMOD
XDMP-REDPRFX,XDMP,Redefined prefix variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDPRFX
XDMP-REDRESPRFX,XDMP,Redefined reserved prefix variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDRESPRFX
XDMP-REDRESURI,XDMP,Redefined reserved URI variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDRESURI
XDMP-REDSCHM,XDMP,Redefined schema variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDSCHM
XDMP-REDSIMPLETYPE,XDMP,Redefined simple type: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDSIMPLETYPE
XDMP-REDVAR,XDMP,Redefined variable variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDVAR
XDMP-REDVAR2,XDMP,Redefined variable variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDVAR2
XDMP-REDVAR3,XDMP,Redefined variable variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REDVAR3
XDMP-REFANDNAMEATTR,XDMP,Cannot have both @ref and @name on xs:attribute,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REFANDNAMEATTR
XDMP-REFANDNAMEELT,XDMP,Cannot have both @ref and @name on xs:element,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REFANDNAMEELT
XDMP-REFERENCE-NOCOL,XDMP,Collation is not specified for the cts reference.,"No ""collation"" option is passed into the cts reference call.",Correct the code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-REFERENCE-NOCOL
XDMP-REFERENCE-NOCOORD,XDMP,Coordinate system is not specified for the cts reference.,"No ""coordinate-system"" option is passed into the cts reference call.",Correct the code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-REFERENCE-NOCOORD
XDMP-REFERENCE-NOPATHEXPR,XDMP,Path expression is not specified for the cts path reference.,No path expression argument is passed into the cts path reference call.,Correct the code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-REFERENCE-NOPATHEXPR
XDMP-REFERENCE-NOTYPE,XDMP,Scalar type is not specified for the cts reference.,"No ""type"" option is passed into the cts reference call.",Correct the code.,https://docs.marklogic.com/messages/XDMP-en/XDMP-REFERENCE-NOTYPE
XDMP-REFRAGMENT,XDMP,Error refragmenting variable1: exception_stack,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REFRAGMENT
XDMP-REGEX,XDMP,Invalid regular expression,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REGEX
XDMP-REGEXFLAGS,XDMP,Invalid regular expression flags,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REGEXFLAGS
XDMP-REGFLT,XDMP,"Registered queries require the ""unfiltered"" option",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REGFLT
XDMP-REINDEX,XDMP,Error reindexing variable1: exception_stack,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REINDEX
XDMP-RELPATH,XDMP,Relative pathname: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RELPATH
XDMP-RELURIBASEARG,XDMP,Relative URI base argument to resolve-uri,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RELURIBASEARG
XDMP-REMOTEHOST,XDMP,Host variable1(variable2) is remote to host variable3(variable4),,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REMOTEHOST
XDMP-REPLNOTALLOWED,XDMP,Replication is currently not allowed: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REPLNOTALLOWED
XDMP-REPLUPDATESNOTALLOWED,XDMP,Replica forest variable1 does not allow updates,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REPLUPDATESNOTALLOWED
XDMP-REQTXN,XDMP,This request is already in a multi-statement transaction,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REQTXN
XDMP-REQUESTBLACKOUT,XDMP,Requests are currently forbidden,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REQUESTBLACKOUT
XDMP-REQUESTLIMIT,XDMP,Concurrent request limit for user has been reached,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REQUESTLIMIT
XDMP-REQUIREALL,XDMP,The all-extensions feature is not allowed in a require-feature option: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REQUIREALL
XDMP-REQUTF8SEQ,XDMP,Invalid UTF-8 escape sequence -- requests are not UTF-8 encoded,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REQUTF8SEQ
XDMP-RESECUREDECRYPT,XDMP,Unable to decrypt credential during resecure,"An encrypted secret could not be resecured because it failed to decrypt. This could be due to the passed string not actually being encrypted; or due to not having access to the key that was originally used for encryption.","Make sure the text is actually encrypted. If this credential was originally encrypted on a different cluster; importing encryption keys from that cluster may allow decryption.",https://docs.marklogic.com/messages/XDMP-en/XDMP-RESECUREDECRYPT
XDMP-RESOLVEBADARG,XDMP,Invalid argument to fn:resolve-uri(),,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RESOLVEBADARG
XDMP-RESTORENOMASTER,XDMP,"Unable to restore replica forest variable1 because the master forest variable2 is not also restored; or is not acting master.",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RESTORENOMASTER
XDMP-RESULT,XDMP,result option not allowed in this function,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RESULT
XDMP-RETHROW,XDMP,Nothing to rethrow,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RETHROW
XDMP-RETURNTYPE,XDMP,variable1 returned variable2 which is not of type variable3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RETURNTYPE
XDMP-REVIDXBADQRY,XDMP,Reverse index bad query: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-REVIDXBADQRY
XDMP-RIDXAMBIGUOUS,XDMP,Ambiguous variable1 range index for variable2 variable3,The options provided are not sufficient to uniquely identify a range index.,"Specify type; collation; coordinate-system; and/or precision options to uniquely identify a range index.",https://docs.marklogic.com/messages/XDMP-en/XDMP-RIDXAMBIGUOUS
XDMP-RIDXNOTCOLL,XDMP,Collations are irrelevant to the variable1 range index for variable2 variable3,"The options to cts:reference include a collation; but the range index is not a string data-type.",Do not specify a collation in the cts:reference's options.,https://docs.marklogic.com/messages/XDMP-en/XDMP-RIDXNOTCOLL
XDMP-RIDXNOTCOORD,XDMP,Coordinate systems are irrelevant to the variable1 range index for variable2 variable3,"The options to cts:reference include a coordinate system; but the range index is not a geospatial data type.",Do not specify a coordinate system in the cts:reference's options.,https://docs.marklogic.com/messages/XDMP-en/XDMP-RIDXNOTCOORD
XDMP-RIDXNOTFOUND,XDMP,No variable1 range index for variable2 variable3 variable4,The query requires a range index that does not exist.,"Make sure the range index exists. If the range index is of type string; make sure it uses the collation specified in the query. If the range index is a geospatial index; make sure it uses the coordinate system specified in the query. If the range index was added recently; make sure reindexing is enabled and has completed.",https://docs.marklogic.com/messages/XDMP-en/XDMP-RIDXNOTFOUND
XDMP-RIDXNOTPOSN,XDMP,Positions are not enabled on the variable1 range index for variable2 variable3,"User has specified ""ordered"" or ""proximity"" options on cts:value-tuples when positions are not enabled on the range index.","Either enable positions on the range index or do not specify ""ordered"" or ""proximity"" options on cts:value-tuples.",https://docs.marklogic.com/messages/XDMP-en/XDMP-RIDXNOTPOSN
XDMP-RIDXTOOBIG,XDMP,Too many entries in range index variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RIDXTOOBIG
XDMP-RMINVOP,XDMP,Recovery Manager invalid operation: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RMINVOP
XDMP-RMRECORD,XDMP,Journal record too large: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RMRECORD
XDMP-ROLLBACK,XDMP,Transaction rollback,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ROLLBACK
XDMP-ROLLBACKBADTIME,XDMP,Bad rollback time: rollback timestamp (variable1) must be between database merge timestamp (variable2) and current timestamp (variable3),,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ROLLBACKBADTIME
XDMP-ROLLBACKNOMERGETIME,XDMP,Rollback requires database merge timestamp to be set,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-ROLLBACKNOMERGETIME
XDMP-RSLVNOTHTTP,XDMP,It's not http compatible to resolve entities embedded in document,"Document is inserted through XCC in HTTP compatible mode; while ResolveEntities is set to true",Disable HTTP compatible mode in XCC or set ResolveEntities to false,https://docs.marklogic.com/messages/XDMP-en/XDMP-RSLVNOTHTTP
XDMP-RULEOP,XDMP,Invalid syntax for a rule definition: variable1,Rule definitions only allow a subset of SPARQL syntax.,Restrict your rule definitions to use the correct syntax subset.,https://docs.marklogic.com/messages/XDMP-en/XDMP-RULEOP
XDMP-RULESNOTFOUND,XDMP,The ruleset file cannot be found: variable1,The ruleset file referenced cannot be found.,"MarkLogic searches for rulesets in the schemas database configured for the queried database; as well as in the MarkLogic install directory for standard rulesets shipped the product. Check that the ruleset you are trying to use exists and has the correct name.",https://docs.marklogic.com/messages/XDMP-en/XDMP-RULESNOTFOUND
XDMP-RWANYALL,XDMP,One of the attributes any-of [variable1] or all-of [variable2] must be specified in rule: variable3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWANYALL
XDMP-RWATTRBLANK,XDMP,The attribute 'variable1' in rule: 'variable2' must not be empty or blank.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWATTRBLANK
XDMP-RWATTRNOTSET,XDMP,The attribute 'variable1' in rule: variable2 must be explicitly provided.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWATTRNOTSET
XDMP-RWATTRNOTSET3,XDMP,"At most one matching attribute of 'variable1'; 'variable2'; 'variable3' is allowed in rule: variable4.",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWATTRNOTSET3
XDMP-RWEMPTY,XDMP,The value of expression 'variable1' is required to be non-empty in rule: variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWEMPTY
XDMP-RWINVAL0,XDMP,The value of expression 'variable1' is required to be non-zero in rule: variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWINVAL0
XDMP-RWONEOF,XDMP,Only one of the attributes 'variable1' or 'variable2' may be supplied in rule: variable3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWONEOF
XDMP-RWREGEX,XDMP,Attempted evaluate an invalid regular expression: 'variable1' in rule: variable2 - error: variable3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWREGEX
XDMP-RWREPVAL,XDMP,The expression 'variable1' evaluated to multiple values in rule: variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWREPVAL
XDMP-RWREQUNAVAIL,XDMP,The requested method name: 'variable1' is invalid in rule: variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWREQUNAVAIL
XDMP-RWRPTPARAM,XDMP,Repeated values are not allowed for the variable1 attribute in rule: variable2.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWRPTPARAM
XDMP-RWSYSVAR,XDMP,Attempted to set a system variable name: 'variable1' in rule: variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-RWSYSVAR
XDMP-SAMEARC,XDMP,Arcs must not be part of same great circle,geo:arc-intersection is called on two arcs that are on the same Great Circle.,The error is reporting a state of nature. It is up to the application to decide what to make of that state of nature.,https://docs.marklogic.com/messages/XDMP-en/XDMP-SAMEARC
XDMP-SCHEDEVENTINPUT,XDMP,variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-SCHEDEVENTINPUT
XDMP-SCHEMA-CANNOT,XDMP,Cannot variable1 -- variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-SCHEMA-CANNOT
XDMP-SCHMNSMISMATCH,XDMP,"Namespace ""variable1"" does not match namespace in schema at ""variable2""",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-SCHMNSMISMATCH
XDMP-SCHPRFX,XDMP,Cannot declare a prefix for the empty namespace URI in a schema import,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-SCHPRFX
XDMP-SEARCH,XDMP,Searches not enabled,"One or more of the following configuration settings are required by the search; but are not enabled on the database: stemmed searches; word searches; field value searches.","Use the Admin Interface to check and correct the database configuration. If the database settings appear correct; ensure that any database re-indexing operations are completing correctly. In rare cases; this error has been seen when there is a re-indexing failure.",https://docs.marklogic.com/messages/XDMP-en/XDMP-SEARCH
